2024-08-03 20:12:05 Info: 1 / New video.
2024-08-03 20:13:55 Info: 1 / Video already exists. Use --overwrite to overwrite it.
2024-08-03 20:14:09 Info: 1 / Overwriting files.
2024-08-03 20:39:46 Info: 1 / Files: /home/acidtib/code/clipper/results/1
2024-08-03 20:39:48 Info: 1 / Files: /home/acidtib/code/clipper/results/1
2024-08-03 20:41:20 Info: 1 / Files: /home/acidtib/code/clipper/results/1
2024-08-03 20:41:20 Info: ff.txt
2024-08-03 22:01:33 Info: 1 / Downloading https://www.twitch.tv/hornetlul/clip/FlirtyBlithePotSoBayed-DRNq8JAihgpRESwh.
2024-08-03 22:01:33 Info: 1 / Downloading https://www.twitch.tv/sonnekonig85/clip/AverageSneakyAmazonFloof-tNl-n8wY1CHkNfKy.
2024-08-03 22:19:51 Info: 1 / Downloading https://www.twitch.tv/hornetlul/clip/FlirtyBlithePotSoBayed-DRNq8JAihgpRESwh.
2024-08-03 22:19:51 Info: 1 / Downloading https://www.twitch.tv/sonnekonig85/clip/AverageSneakyAmazonFloof-tNl-n8wY1CHkNfKy.
2024-08-03 22:25:15 Info: 1 / Downloading https://www.twitch.tv/hornetlul/clip/FlirtyBlithePotSoBayed-DRNq8JAihgpRESwh.
2024-08-03 22:25:15 Info: 1 / Downloading https://www.twitch.tv/sonnekonig85/clip/AverageSneakyAmazonFloof-tNl-n8wY1CHkNfKy.
2024-08-03 22:30:12 Info: 1 / Downloading https://www.twitch.tv/hornetlul/clip/FlirtyBlithePotSoBayed-DRNq8JAihgpRESwh.
2024-08-03 22:30:12 Info: 1 / Downloading https://www.twitch.tv/sonnekonig85/clip/AverageSneakyAmazonFloof-tNl-n8wY1CHkNfKy.
2024-08-03 22:31:49 Info: 1 / Downloading https://www.twitch.tv/hornetlul/clip/FlirtyBlithePotSoBayed-DRNq8JAihgpRESwh.
